date,away_team,home_team,home_wins,home_recent_form,away_recent_form,form_advantage,home_recent_games,away_recent_games,h2h_home_advantage,home_run_diff,away_run_diff,run_diff_advantage,home_field
2025-08-24,Cleveland Guardians,Texas Rangers,1,0.5,0.14285714285714285,0.35714285714285715,8,7,1.0,0.25,-3.0,3.25,1
2025-08-24,Chicago Cubs,Los Angeles Angels,0,0.2857142857142857,0.7777777777777778,-0.4920634920634921,7,9,0.0,-2.142857142857143,1.2222222222222223,-3.365079365079365,1
2025-08-24,Cincinnati Reds,Arizona Diamondbacks,0,0.5714285714285714,0.42857142857142855,0.14285714285714285,7,7,1.0,0.8571428571428571,-0.8571428571428571,1.7142857142857142,1
2025-08-24,Los Angeles Dodgers,San Diego Padres,0,0.625,0.5,0.125,8,8,0.5,1.5,0.875,0.625,1
2025-08-24,Athletics,Seattle Mariners,1,0.14285714285714285,0.7142857142857143,-0.5714285714285714,7,7,0.5,-3.142857142857143,1.2857142857142858,-4.428571428571429,1
2025-08-24,Boston Red Sox,New York Yankees,1,0.5714285714285714,0.5714285714285714,0.0,7,7,0.0,0.7142857142857143,1.5714285714285714,-0.8571428571428571,1
2025-08-24,Minnesota Twins,Chicago White Sox,1,0.2857142857142857,0.2857142857142857,0.0,7,7,0.5,-0.5714285714285714,-1.1428571428571428,0.5714285714285714,1
2025-08-25,Tampa Bay Rays,Cleveland Guardians,0,0.125,0.42857142857142855,-0.30357142857142855,8,7,0.5,-3.25,-1.5714285714285714,-1.6785714285714286,1
2025-08-25,Atlanta Braves,Miami Marlins,1,0.375,0.625,-0.25,8,8,0.5,-0.75,-0.375,-0.375,1
2025-08-25,Washington Nationals,New York Yankees,1,0.625,0.5,0.125,8,8,0.5,1.25,-0.25,1.5,1
2025-08-25,Minnesota Twins,Toronto Blue Jays,1,0.5,0.25,0.25,8,8,0.5,1.0,-2.0,3.0,1
2025-08-25,Philadelphia Phillies,New York Mets,1,0.625,0.75,-0.125,8,8,0.5,2.125,2.25,-0.125,1
2025-08-25,Los Angeles Angels,Texas Rangers,0,0.5555555555555556,0.25,0.3055555555555556,9,8,0.5,0.7777777777777778,-2.0,2.7777777777777777,1
2025-08-25,Arizona Diamondbacks,Milwaukee Brewers,1,0.4,0.5,-0.09999999999999998,10,8,0.5,-0.2,0.125,-0.325,1
2025-08-25,Pittsburgh Pirates,St. Louis Cardinals,1,0.375,0.625,-0.25,8,8,0.5,-1.25,1.75,-3.0,1
2025-08-25,San Diego Padres,Seattle Mariners,1,0.25,0.5555555555555556,-0.3055555555555556,8,9,0.5,-1.875,0.6666666666666666,-2.5416666666666665,1
2025-08-25,Detroit Tigers,Athletics,1,0.625,0.75,-0.125,8,8,0.5,0.25,1.75,-1.5,1
2025-08-25,Cincinnati Reds,Los Angeles Dodgers,1,0.5555555555555556,0.5,0.05555555555555558,9,8,0.5,1.4444444444444444,-0.125,1.5694444444444444,1
2025-08-25,Kansas City Royals,Chicago White Sox,1,0.375,0.6666666666666666,-0.29166666666666663,8,9,0.0,0.5,1.0,-0.5,1
2025-08-25,Boston Red Sox,Baltimore Orioles,0,0.5,0.5,0.0,8,8,1.0,0.875,0.75,0.125,1
