date,season,home_team,away_team,home_wins,home_win_rate,away_win_rate,win_rate_advantage,home_runs_per_game,away_runs_per_game,home_runs_allowed_per_game,away_runs_allowed_per_game,offensive_advantage,defensive_advantage,home_run_differential,away_run_differential,run_diff_advantage,h2h_advantage,is_early_season,is_late_season,home_field
2022-04-14,2022,Milwaukee Brewers,St. Louis Cardinals,1,0.5,0.5,0.0,3.0,4.5,4.333333333333333,4.5,-1.5,0.16666666666666696,-1.333333333333333,0.0,-1.333333333333333,0.5,1,0,1
2022-04-14,2022,Tampa Bay Rays,Oakland Athletics,0,0.6666666666666666,0.5,0.16666666666666663,4.666666666666667,6.0,4.833333333333333,4.5,-1.333333333333333,-0.33333333333333304,-0.16666666666666607,1.5,-1.666666666666666,0.3333333333333333,1,0,1
2022-04-14,2022,Chicago White Sox,Seattle Mariners,0,0.5,0.3333333333333333,0.16666666666666669,4.5,2.6666666666666665,4.5,4.5,1.8333333333333335,0.0,0.0,-1.8333333333333335,1.8333333333333335,1.0,1,0,1
2022-04-15,2022,Chicago White Sox,Tampa Bay Rays,1,0.6666666666666666,0.5714285714285714,0.09523809523809523,4.833333333333333,4.428571428571429,3.1666666666666665,5.0,0.4047619047619042,1.8333333333333335,1.6666666666666665,-0.5714285714285712,2.2380952380952377,0.5,1,0,1
2022-04-15,2022,Cleveland Guardians,San Francisco Giants,0,0.6666666666666666,0.6666666666666666,0.0,7.5,4.5,3.6666666666666665,2.6666666666666665,3.0,-1.0,3.8333333333333335,1.8333333333333335,2.0,0.5,1,0,1
2022-04-15,2022,Toronto Blue Jays,Oakland Athletics,1,0.5714285714285714,0.5714285714285714,0.0,4.142857142857143,6.0,4.857142857142857,4.285714285714286,-1.8571428571428568,-0.5714285714285712,-0.7142857142857135,1.7142857142857144,-2.428571428571428,0.5,1,0,1
2022-04-15,2022,Baltimore Orioles,New York Yankees,1,0.16666666666666666,0.5714285714285714,-0.40476190476190477,2.0,3.4285714285714284,4.0,2.857142857142857,-1.4285714285714284,-1.1428571428571428,-2.0,0.5714285714285712,-2.571428571428571,0.5,1,0,1
2022-04-15,2022,Miami Marlins,Philadelphia Phillies,1,0.3333333333333333,0.42857142857142855,-0.09523809523809523,3.0,4.0,3.8333333333333335,4.285714285714286,-1.0,0.4523809523809521,-0.8333333333333335,-0.2857142857142856,-0.5476190476190479,1.0,1,0,1
2022-04-15,2022,Pittsburgh Pirates,Washington Nationals,0,0.5,0.375,0.125,4.5,3.75,4.5,5.875,0.75,1.375,0.0,-2.125,2.125,1.0,1,0,1
2022-04-15,2022,Los Angeles Dodgers,Cincinnati Reds,1,0.5,0.3333333333333333,0.16666666666666669,4.5,4.5,4.5,5.333333333333333,0.0,0.833333333333333,0.0,-0.833333333333333,0.833333333333333,0.5,1,0,1
2022-04-15,2022,New York Mets,Arizona Diamondbacks,1,0.7142857142857143,0.3333333333333333,0.380952380952381,4.857142857142857,2.5,2.7142857142857144,4.0,2.3571428571428568,1.2857142857142856,2.1428571428571423,-1.5,3.6428571428571423,0.5,1,0,1
2022-04-15,2022,Colorado Rockies,Chicago Cubs,0,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-15,2022,San Diego Padres,Atlanta Braves,1,0.5714285714285714,0.42857142857142855,0.14285714285714285,3.857142857142857,4.857142857142857,4.0,5.285714285714286,-0.9999999999999996,1.2857142857142856,-0.1428571428571428,-0.4285714285714288,0.28571428571428603,0.5,1,0,1
2022-04-15,2022,Kansas City Royals,Detroit Tigers,0,0.5,0.3333333333333333,0.16666666666666669,4.5,3.5,4.5,5.666666666666667,1.0,1.166666666666667,0.0,-2.166666666666667,2.166666666666667,0.5,1,0,1
2022-04-15,2022,Texas Rangers,Los Angeles Angels,1,0.5,0.5,0.0,4.5,3.3333333333333335,4.5,4.166666666666667,1.1666666666666665,-0.33333333333333304,0.0,-0.8333333333333335,0.8333333333333335,0.5,1,0,1
2022-04-15,2022,Boston Red Sox,Minnesota Twins,0,0.5,0.3333333333333333,0.16666666666666669,4.333333333333333,3.3333333333333335,4.333333333333333,4.0,0.9999999999999996,-0.33333333333333304,0.0,-0.6666666666666665,0.6666666666666665,0.5,1,0,1
2022-04-16,2022,Kansas City Royals,Detroit Tigers,1,0.3333333333333333,0.42857142857142855,-0.09523809523809523,3.5,3.5714285714285716,6.333333333333333,5.142857142857143,-0.07142857142857162,-1.1904761904761898,-2.833333333333333,-1.5714285714285716,-1.2619047619047614,0.0,1,0,1
2022-04-16,2022,Milwaukee Brewers,St. Louis Cardinals,0,0.5714285714285714,0.5,0.0714285714285714,3.2857142857142856,4.5,3.857142857142857,4.5,-1.2142857142857144,0.6428571428571428,-0.5714285714285716,0.0,-0.5714285714285716,1.0,1,0,1
2022-04-16,2022,Baltimore Orioles,New York Yankees,0,0.2857142857142857,0.5,-0.2142857142857143,2.0,3.125,3.5714285714285716,2.75,-1.125,-0.8214285714285716,-1.5714285714285716,0.375,-1.9464285714285716,1.0,1,0,1
2022-04-16,2022,Texas Rangers,Los Angeles Angels,0,0.3333333333333333,0.42857142857142855,-0.09523809523809523,6.333333333333333,3.5714285714285716,5.833333333333333,5.0,2.7619047619047614,-0.833333333333333,0.5,-1.4285714285714284,1.9285714285714284,1.0,1,0,1
2022-04-16,2022,Pittsburgh Pirates,Washington Nationals,1,0.42857142857142855,0.4444444444444444,-0.015873015873015872,4.142857142857143,4.111111111111111,4.857142857142857,5.444444444444445,0.03174603174603252,0.5873015873015879,-0.7142857142857135,-1.333333333333334,0.6190476190476204,0.5,1,0,1
2022-04-16,2022,Miami Marlins,Philadelphia Phillies,0,0.42857142857142855,0.375,0.05357142857142855,3.5714285714285716,3.625,3.4285714285714284,4.625,-0.05357142857142838,1.1964285714285716,0.14285714285714324,-1.0,1.1428571428571432,1.0,1,0,1
2022-04-16,2022,Cleveland Guardians,San Francisco Giants,0,0.5714285714285714,0.7142857142857143,-0.1428571428571429,6.571428571428571,4.428571428571429,3.7142857142857144,2.4285714285714284,2.1428571428571423,-1.285714285714286,2.8571428571428568,2.0000000000000004,0.8571428571428563,0.0,1,0,1
2022-04-16,2022,Boston Red Sox,Minnesota Twins,1,0.42857142857142855,0.42857142857142855,0.0,4.285714285714286,4.0,4.857142857142857,4.0,0.2857142857142856,-0.8571428571428568,-0.5714285714285712,0.0,-0.5714285714285712,0.0,1,0,1
2022-04-16,2022,San Diego Padres,Atlanta Braves,0,0.625,0.375,0.25,4.875,4.375,3.625,6.125,0.5,2.5,1.25,-1.75,3.0,1.0,1,0,1
2022-04-16,2022,Los Angeles Dodgers,Cincinnati Reds,1,0.6666666666666666,0.2857142857142857,0.38095238095238093,5.666666666666667,4.285714285714286,3.3333333333333335,5.857142857142857,1.3809523809523814,2.5238095238095233,2.3333333333333335,-1.5714285714285712,3.9047619047619047,1.0,1,0,1
2022-04-16,2022,Chicago White Sox,Tampa Bay Rays,1,0.7142857142857143,0.5,0.2142857142857143,4.571428571428571,4.125,3.0,4.75,0.4464285714285712,1.75,1.5714285714285712,-0.625,2.196428571428571,1.0,1,0,1
2022-04-16,2022,Kansas City Royals,Detroit Tigers,0,0.42857142857142855,0.375,0.05357142857142855,3.4285714285714284,3.25,5.571428571428571,4.875,0.17857142857142838,-0.6964285714285712,-2.142857142857143,-1.625,-0.5178571428571428,0.5,1,0,1
2022-04-16,2022,Milwaukee Brewers,St. Louis Cardinals,0,0.5,0.6666666666666666,-0.16666666666666663,3.0,4.666666666666667,3.625,3.6666666666666665,-1.666666666666667,0.04166666666666652,-0.625,1.0000000000000004,-1.6250000000000004,0.5,1,0,1
2022-04-16,2022,Colorado Rockies,Chicago Cubs,1,0.6666666666666666,0.6666666666666666,0.0,4.5,4.5,3.5,3.0,0.0,-0.5,1.0,1.5,-0.5,0.0,1,0,1
2022-04-16,2022,Texas Rangers,Los Angeles Angels,0,0.2857142857142857,0.5,-0.2142857142857143,5.714285714285714,4.0,6.0,4.625,1.7142857142857144,-1.375,-0.2857142857142856,-0.625,0.3392857142857144,0.5,1,0,1
2022-04-16,2022,Seattle Mariners,Houston Astros,1,0.42857142857142855,0.6666666666666666,-0.23809523809523808,3.0,4.0,4.0,2.3333333333333335,-1.0,-1.6666666666666665,-1.0,1.6666666666666665,-2.6666666666666665,0.5,1,0,1
2022-04-16,2022,Toronto Blue Jays,Oakland Athletics,0,0.625,0.5,0.125,4.125,5.375,4.375,4.25,-1.25,-0.125,-0.25,1.125,-1.375,1.0,1,0,1
2022-04-16,2022,New York Mets,Arizona Diamondbacks,0,0.75,0.2857142857142857,0.4642857142857143,5.5,2.5714285714285716,2.75,4.857142857142857,2.9285714285714284,2.1071428571428568,2.75,-2.285714285714285,5.035714285714285,1.0,1,0,1
2022-04-16,2022,San Diego Padres,Atlanta Braves,0,0.5555555555555556,0.4444444444444444,0.11111111111111116,4.555555555555555,4.444444444444445,3.7777777777777777,5.666666666666667,0.11111111111111072,1.8888888888888893,0.7777777777777777,-1.2222222222222223,2.0,0.5,1,0,1
