date,away_team,home_team,home_wins,temperature,wind_speed,humidity,is_dome,month,home_rest_days,away_rest_days,rest_advantage,home_games_last_week,away_games_last_week,fatigue_advantage,home_recent_offense,away_recent_offense,home_recent_defense,away_recent_defense,offensive_advantage,defensive_advantage,travel_factor,home_field
2025-08-24,San Francisco Giants,Milwaukee Brewers,0,80,5,60,0,8,1,1,0,8,7,-1,2.8,3.4,4.0,5.4,-0.6000000000000001,1.4000000000000004,1,1
2025-08-24,Cleveland Guardians,Texas Rangers,1,90,5,60,0,8,1,1,0,7,6,-1,5.2,2.6,3.4,4.8,2.6,1.4,1,1
2025-08-24,Chicago Cubs,Los Angeles Angels,0,80,5,60,0,8,1,1,0,6,8,2,2.0,4.8,5.2,2.2,-2.8,-3.0,1,1
2025-08-24,Cincinnati Reds,Arizona Diamondbacks,0,90,5,60,0,8,1,1,0,6,6,0,5.2,3.4,3.2,4.6,1.8000000000000003,1.3999999999999995,1,1
2025-08-24,Los Angeles Dodgers,San Diego Padres,0,80,5,60,0,8,1,1,0,7,7,0,5.6,5.0,1.6,4.8,0.5999999999999996,3.1999999999999997,1,1
2025-08-24,Athletics,Seattle Mariners,1,80,5,60,0,8,1,1,0,6,6,0,3.4,4.4,6.6,2.4,-1.0000000000000004,-4.199999999999999,1,1
2025-08-24,Boston Red Sox,New York Yankees,1,80,5,60,0,8,1,1,0,6,6,0,4.6,5.0,5.2,2.8,-0.40000000000000036,-2.4000000000000004,1,1
2025-08-24,Minnesota Twins,Chicago White Sox,1,75,18,60,0,8,1,1,0,6,6,0,7.4,4.0,6.6,6.4,3.4000000000000004,-0.1999999999999993,1,1
2025-08-25,Tampa Bay Rays,Cleveland Guardians,0,75,5,60,0,8,1,1,0,6,5,-1,2.0,5.6,5.6,6.8,-3.5999999999999996,1.2000000000000002,1,1
2025-08-25,Atlanta Braves,Miami Marlins,1,90,5,60,0,8,1,1,0,6,6,0,4.6,5.0,4.8,6.8,-0.40000000000000036,2.0,1,1
2025-08-25,Washington Nationals,New York Yankees,1,80,5,60,0,8,1,1,0,6,6,0,3.4,5.0,5.0,4.0,-1.6,-1.0,1,1
2025-08-25,Minnesota Twins,Toronto Blue Jays,1,77,0,55,1,8,1,1,0,6,6,0,4.6,3.4,3.6,6.8,1.1999999999999997,3.1999999999999997,1,1
2025-08-25,Philadelphia Phillies,New York Mets,1,80,5,60,0,8,1,1,0,6,6,0,6.2,6.0,5.4,3.4,0.20000000000000018,-2.0000000000000004,1,1
2025-08-25,Los Angeles Angels,Texas Rangers,0,90,5,60,0,8,1,1,0,7,6,-1,5.8,2.4,2.4,5.2,3.4,2.8000000000000003,1,1
2025-08-25,Arizona Diamondbacks,Milwaukee Brewers,1,80,5,60,0,8,1,1,0,8,6,-2,3.2,5.2,4.0,3.8,-2.0,-0.20000000000000018,1,1
2025-08-25,Pittsburgh Pirates,St. Louis Cardinals,1,80,5,60,0,8,1,1,0,6,6,0,4.8,4.6,6.2,1.8,0.20000000000000018,-4.4,1,1
2025-08-25,San Diego Padres,Seattle Mariners,1,80,5,60,0,8,1,1,0,6,7,1,4.2,5.0,5.0,3.0,-0.7999999999999998,-2.0,1,1
2025-08-25,Detroit Tigers,Athletics,1,80,5,60,0,8,1,1,0,6,6,0,4.0,5.4,4.0,3.8,-1.4000000000000004,-0.20000000000000018,1,1
2025-08-25,Cincinnati Reds,Los Angeles Dodgers,1,80,5,60,0,8,1,1,0,7,6,-1,4.4,3.8,4.4,4.6,0.6000000000000005,0.1999999999999993,1,1
2025-08-25,Kansas City Royals,Chicago White Sox,1,75,16,60,0,8,1,1,0,6,7,1,6.4,5.2,4.8,5.8,1.2000000000000002,1.0,1,1
2025-08-25,Boston Red Sox,Baltimore Orioles,0,80,5,60,0,8,1,1,0,6,6,0,4.8,4.8,6.2,3.0,0.0,-3.2,1,1
